,lyrics,tags,num_syllables,pos,year,fog_index,flesch_index,num_words,num_lines,sentiment,title,f_k_grade,artist,difficult_words,num_dupes
630,"My life is brilliant

My life is brilliant
My love is pure
I saw an angel
Of that I'm sure

She smiled at me on the subway
She was with another man
But I won't lose no sleep on that
'Cause I've got a plan

You're beautiful, you're beautiful
You're beautiful, it's true
I saw your face in a crowded place
And I don't know what to do
'Cause I'll never be with you

Yes, she caught my eye as I walked on by
She could see from my face that I was fucking high
And I don't think that I'll see her again
But we shared a moment that will last till the end

You're beautiful, you're beautiful
You're beautiful, it's true
I saw your face in a crowded place
And I don't know what to do
'Cause I'll never be with you

You're beautiful, you're beautiful
You're beautiful, it's true
There must be an angel
With a smile on her face
When she thought up that I should be with you

But it's time to face the truth
I will never be with you","['british', 'english', 'folk rock', 'pop and chart', 'pop rock', 'rhyming slang', 'rock', 'uk']",225.9,4,2006,4.4,99.23,186,30,"{'neg': 0.0, 'neu': 0.662, 'pos': 0.338, 'compound': 0.9973000000000001}",You're Beautiful,0.9,James Blunt,10,14
631,"I am unwritten
Can't read my mind
I'm undefined

I'm just beginning
The pen's in my hand
Ending unplanned

Staring at the blank page before you
Open up the dirty window
Let the sun illuminate the words
That you could not find
Reaching for something in the distance
So close you can almost taste it
Release your inhibitions

Feel the rain on your skin
No one else can feel it for you
Only you can let it in
No one else, no one else
Can speak the words on your lips
Drench yourself in words unspoken
Live your life with arms wide open
Today is, where your book begins
The rest is still unwritten
Yeah
Oh, oh

I break tradition
Sometimes my tries 
Are outside the lines
We've been conditioned 
To not make mistakes
But I can't live that way, oh

Staring at the blank page before you
Open up the dirty window
Let the sun illuminate the words
That you could not find
Reaching for something in the distance
So close you can almost taste it
Release your inhibitions

Feel the rain on your skin
No one else can feel it for you
Only you can let it in
No one else, no one else
Can speak the words on your lips
Drench yourself in words unspoken
Live your life with arms wide open
Today is where your book begins

Feel the rain on your skin
No one else can feel it for you
Only you can let it in
No one else, no one else
Can speak the words on your lips
Drench yourself in words unspoken
Live your life with arms wide open
Today is where your book begins
The rest is still unwritten
Oh, oh

Staring at the blank page before you
Open up the dirty window
Let the sun illuminate the words
That you could not find
Reaching for something in the distance
So close you can almost taste it
Release your inhibitions

Feel the rain on your skin
No one else can feel it for you
Only you can let it in
No one else, no one else
Can speak the words on your lips
Drench yourself in words unspoken
Live your life with arms wide open
Today is where your book begins

Feel the rain on your skin
No one else can feel it for you
Only you can let it in
No one else, no one else
Can speak the words on your lips
Drench yourself in words unspoken
Live your life with arms wide open
Today is where your book begins
The rest is still unwritten
The rest is still unwritten
The rest is still unwritten
Yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah.","['british', 'contemporary r b', 'english', 'pop', 'pop and chart', 'soul', 'uk']",582.3,6,2006,4.0,91.78,453,78,"{'neg': 0.105, 'neu': 0.844, 'pos': 0.051000000000000004, 'compound': -0.9626}",Unwritten,1.7000000000000002,Natasha Bedingfield,23,59
632,"I remember when
I remember, I remember when I lost my mind
There was something so pleasant about that place
Even your emotions had an echo
In so much space

And when you're out there, without care
Yeah, I was out of touch
But it wasn't because I didn't know enough
I just knew too much, mmm

Does that make me crazy?
Does that make me crazy?
Does that make me crazy?
Possibly

And I hope that you are having the time of your life
But think twice
That's my only advice, mmm

Come on now, who do you
Who do you, who do you, who do you think you are?
Ha ha ha, bless your soul
You really think you're in control?

Well, I think you're crazy
I think you're crazy
I think you're crazy
Just like me

My heroes had the heart to lose their lives out on a limb
And all I remember
Is thinking, I want to be like them

Mmm, ever since I was little
Ever since I was little, it looked like fun
And it's no coincidence I've come
And I can die when I'm done

But maybe I'm crazy
Maybe you're crazy
Maybe we're crazy
Probably","['alternative hip hop', 'experimental hip hop', 'hip hop', 'neo-soul', 'pop', 'pop and chart', 'pop rock', 'pop soul']",255.6,7,2006,4.4,90.77,203,33,"{'neg': 0.132, 'neu': 0.71, 'pos': 0.157, 'compound': 0.7639}",Crazy,2.1,Gnarls Barkley,19,10
633,"They see me rollin', they hatin'
Patrollin' and tryin' to catch me ridin' dirty
Tryin' to catch me ridin' dirty
Tryin' to catch me ridin' dirty
Tryin' to catch me ridin' dirty
Tryin' to catch me ridin' dirty

My music's so loud, I'm swangin'
They hopin' that they gon' catch me ridin' dirty
Tryin' to catch me ridin' dirty
Tryin' to catch me ridin' dirty
Tryin' to catch me ridin' dirty
Tryin' to catch me ridin' dirty

Think they can see me lean
I'm tint so it ain't easy to be seen
When you see me ride by, they can see the glean
And my shine on the deck and the TV screen

Ride with a new chick, she like hold up
Next to the PlayStation controller
Is a full clip in my pistola
Turn a jacker into a coma

Girl you ain't know I'm crazy like Krayzie Bone
Just tryin' to bone ain't tryin' to have no babies
Rock clean itself, so I pull in ladies
Laws of patrollin' you know they hate me

Music turned all the way up until the maximum
I can speak for some niggas try to jack for some
But we packin' somethin' that we have & um
Will have a nigga locked up in the maximum

Security cell, I'm grippin' oak
Music loud & tippin' slow
Twist and twistin' like hit this dough
Pull up from behind & is in his throat

Windows down, gotta stop pollution
CD's change, niggas like, ""Who is that producin'?""
This the Play-N-Skillz when we out and cruisin'
Got warrants in every city except Houston, but I still ain't losin'

They see me rollin', they hatin'
Patrollin' and tryin' to catch me ridin' dirty
Tryin' to catch me ridin' dirty
Tryin' to catch me ridin' dirty
Tryin' to catch me ridin' dirty
Tryin' to catch me ridin' dirty

My music's so loud ,I'm swangin'
They hopin' that they gon' catch me ridin' dirty
Tryin' to catch me ridin' dirty
Tryin' to catch me ridin' dirty
Tryin' to catch me ridin' dirty
Tryin' to catch me ridin' dirty

I been drinkin' and smokin' holdin' shit
'Cause a brother can't focus
I gotta get to home 'fore the po po's scope
This big ol' Excursion swervin' all up in the curve, man

Nigga been sippin' on that Hennessey
And the gin again is in again, we in the wind
Doin' a hundred while I come from the block
And rollin' another one up, we livin' like we ain't givin' a fuck

I got a revolver in my right hand
40 oz. on my lap freezin' my balls
Roll a nigga tree, green leaves and all
Comin' pretty deep, me and my dawg

I gotta get back to backstreets
Wanted by the six pound and I got heat
Glock glock, shots to the block, we creep creep
Pop Pop hope cops don't see me, on a low key

With no regards for the law we dodge 'em like fuck 'em all
But I won't get caught up and brought up on charges for none of y'all
Keep a gun in car and a blunt to spark, but well if you want, nigga you poppin' dark
Ready or not we bust shots off in the air, Krayzie Bone and Chamillionaire

They see me rollin', they hatin'
Patrollin' and tryin' to catch me ridin' dirty
Tryin' to catch me ridin' dirty
Tryin' to catch me ridin' dirty
Tryin' to catch me ridin' dirty
Tryin' to catch me ridin' dirty

My music's so loud, I'm swangin'
They hopin' that they gon' catch me ridin' dirty
Tryin' to catch me ridin' dirty
Tryin' to catch me ridin' dirty
Tryin' to catch me ridin' dirty
Tryin' to catch me ridin' dirty

Do what you thinkin' so, I tried to let you go
Turn up a blink of light and then I swang it slower
A nigga upset for sure 'cause they think they know
That they catchin' me with plenty of the drinkin' drough

So they get behind me tryin' to check my tags
Look at my rear view and they smilin'
Thinkin' they'll catch me on the wrong well keep tryin'
'Cause they denyin' is racial profilin'

Houston, Texas you can check my tags
Pull me over try to check my slab
Glove compartment gotta get my cash
'Cause the crooked cops try to come up fast

And been a baller that I am I talk to them
Givin' a damn 'about not feelin' my attitude
When they realize I ain't even ridin' dirty
Bet you'll be leavin' with an even madder mood

I'm a laugh at you and then I'm a have to cruise
I'm in number two on some more DJ Screw
You can't arrest me plus you can't sue
This a message to the laws tellin' them ""We hate you!""

I can't be toss or tell 'em that they should've known
Tippin' down I'm sittin' crooked on my chrome
Bookin' my phone tryin' to find a chick I wanna bone
Like they couldn't stop me I'm about to pull up at your home, it's on

They see me rollin', they hatin'
Patrollin' and tryin' to catch me ridin' dirty
Tryin' to catch me ridin' dirty
Tryin' to catch me ridin' dirty
Tryin' to catch me ridin' dirty
Tryin' to catch me ridin' dirty

My music's so loud, I'm swangin'
They hopin' that they gon' catch me ridin' dirty
Tryin' to catch me ridin' dirty
Tryin' to catch me ridin' dirty
Tryin' to catch me ridin' dirty
Tryin' to catch me ridin' dirty

They see me rollin', they hatin'
Patrollin' and tryin' to catch me ridin' dirty
Tryin' to catch me ridin' dirty
Tryin' to catch me ridin' dirty
Tryin' to catch me ridin' dirty
Tryin' to catch me ridin' dirty

My music's so loud, I'm swangin'
They hopin' that they gon' catch me ridin' dirty
Tryin' to catch me ridin' dirty
Tryin' to catch me ridin' dirty
Tryin' to catch me ridin' dirty
Tryin' to catch me ridin' dirty","['hip hop', 'hip hop rnb and dance hall', 'pop rap', 'rap', 'southern hip hop']",1191.6,8,2006,4.800000000000002,98.21,1004,128,"{'neg': 0.20500000000000002, 'neu': 0.739, 'pos': 0.056, 'compound': -0.9995}",Ridin',1.3,Chamillionaire,86,79
634,"I'm bringing sexy back (yeah)
Them other boys don't know how to act (yeah)
I think you're special, what's behind your back? (yeah)
So turn around and I'll pick up the slack (yeah)

Take 'em to the bridge

Dirty babe (uh huh)
You see these shackles, baby I'm your slave (uh huh)
I'll let you whip me if I misbehave (uh huh)
It's just that no one makes me feel this way (uh huh)

Take 'em to the chorus

Come here girl
Go ahead, be gone with it
Come to the back
Go ahead, be gone with it
V.I.P.
Go ahead, be gone with it
Drinks on me
Go ahead, be gone with it

Let me see what you're twerking with
Go ahead, be gone with it
Look at those hips
Go ahead, be gone with it
You make me smile
Go ahead, be gone with it
Go ahead child
Go ahead, be gone with it

And get your sexy on
Go ahead, be gone with it
Get your sexy on
Go ahead, be gone with it
Get your sexy on
Go ahead, be gone with it
Get your sexy on
Go ahead, be gone with it

Get your sexy on
Go ahead, be gone with it
Get your sexy on
Go ahead, be gone with it
Get your sexy on
Go ahead, be gone with it
Get your sexy on

I'm bringing sexy back (yeah)
Them other fuckers don't know how to act (yeah)
Come let me make up for the things you lack (yeah)
'Cause you're burning up, I gotta get it fast (yeah)

Take 'em to the bridge

Dirty babe (uh huh)
You see these shackles, baby I'm your slave (uh huh)
I'll let you whip me if I misbehave (uh huh)
It's just that no one makes me feel this way (uh huh)

Take 'em to the chorus

Come here girl
Go ahead, be gone with it
Come to the back
Go ahead, be gone with it
V.I.P.
Go ahead, be gone with it
Drinks on me
Go ahead, be gone with it

Let me see what you're twerking with
Go ahead, be gone with it
Look at those hips
Go ahead, be gone with it
You make me smile
Go ahead, be gone with it
Go ahead child
Go ahead, be gone with it

And get your sexy on
Go ahead, be gone with it
Get your sexy on
Go ahead, be gone with it
Get your sexy on
Go ahead, be gone with it
Get your sexy on
Go ahead, be gone with it

Get your sexy on
Go ahead, be gone with it
Get your sexy on
Go ahead, be gone with it
Get your sexy on
Go ahead, be gone with it
Get your sexy on

You ready?
You ready?
You ready?
Uh, yes

I'm bringing sexy back (yeah)
You motherfuckers watch how I attack (yeah)
If that's your girl, better watch your back (yeah)
'Cause she'll burn it up on me and that's a fact (yeah)

Take 'em to the chorus

Come here girl
Go ahead, be gone with it
Come to the back
Go ahead, be gone with it
V.I.P.
Go ahead, be gone with it
Drinks on me
Go ahead, be gone with it

Let me see what you're twerking with
Go ahead, be gone with it
Look at those hips
Go ahead, be gone with it
You make me smile
Go ahead, be gone with it
Go ahead child
Go ahead, be gone with it

And get your sexy on
Go ahead, be gone with it
Get your sexy on
Go ahead, be gone with it
Get your sexy on
Go ahead, be gone with it
Get your sexy on
Go ahead, be gone with it

Get your sexy on
Go ahead, be gone with it
Get your sexy on
Go ahead, be gone with it
Get your sexy on
Go ahead, be gone with it
Get your sexy on

Ooh ooh
You ready? Yes
Ooh ooh
You ready? Yes
Ooh ooh yes
Ooh ooh ahh ooh","['boogie', 'contemporary r&b', 'dance-pop', 'disco', 'electropop', 'pop', 'pop and chart', 'r&b', 'synth funk']",793.8,9,2006,4.0,100.24,679,117,"{'neg': 0.033, 'neu': 0.81, 'pos': 0.157, 'compound': 0.9984000000000001}",Sexyback,0.5,Justin Timberlake,18,117
635,"You need to stop playing ‘round
With all them clowns and the wangstas
Good girls gotta get down with the gangstas
Go ‘head girl put some back and some neck up on it
While I stand up in the background and check up on it

Ooh boy you lookin' like you like what you see
Won't you come over and check up on it?
I'mma let you work up on it
Ladies, let ‘em check up on it
Watch it while he check up on it
Dip it, pop it, twerk it, stop it, check on me tonight

If you got flaunt it, boy I know you want it
While I turn around you watch me check up on it
Ooh you watchin' me shake it, I see it in ya face
Ya can't take it, it's blazin', you rock me and amaze me

You can look at it, as long as you don't grab it
If you don't go braggin', I'mma let you have it
You think that I'm teasin', but I ain't got no reason
I'm sure that I can please ya, but first I gotta read you

Ooh boy you lookin' like you like what you see
Won't you come over and check up on it?
I'mma let you work up on it
Ladies, let 'em check up on it
Watch it while he check up on it
Dip it, pop it, twerk it, stop it, check on me tonight

Ooh boy you lookin' like you like what you see
Won't you come over and check up on it?
I'mma let you work up on it
Ladies, let ‘em check up on it
Watch it while he check up on it
Dip it, pop it, twerk it, stop it, check on me tonight

I can tell you wanna taste it, but I'm gon' make you chase it
You got to be patient, I like my men patient
More patience, you'll take my, get you in more places
You can't be abrasive, have to know to pace it

If I let you get up on it, you gotta make a promise
That you gon' put it on me, like no one's put it on me
Don't bore me, just show me, all men talk but don't please
I can be a tease, but I really wanna please you

Ooh boy you lookin' like you like what you see
Won't you come over and check up on it?
I'mma let you work up on it
Ladies, let ‘em check up on it
Watch it while he check up on it
Dip it, pop it, twerk it, stop it, check on me tonight

Ooh boy you lookin' like you like what you see
Won't you come over and check up on it?
I'mma let you work up on it
Ladies, let ‘em check up on it
Watch it while he check up on it
Dip it, pop it, twerk it, stop it, check on me tonight

I'm checkin' on you boo, do what you do
And while you dance I'mma glance at this beautiful view
I'm keep my hands in my pants, I need to glue ‘em with glue
I'm in a trance all eyes on you and your crew

Me and my mans don't dance, but to feel y'all bump and grind
If won't hurt if you go and try one time
They all hot, but let me see this one's mine
It's Slim Thug and DC outta H-town

Ooh boy you lookin' like you like what you see
Won't you come over and check up on it?
I'mma let you work up on it
Ladies, let ‘em check up on it
Watch it while he check up on it
Dip it, pop it, twerk it, stop it, check on me tonight

Ooh boy you lookin' like you like what you see
Won't you come over and check up on it?
I'mma let you work up on it
Ladies, let ‘em check up on it
Watch it while he check up on it
Dip it, pop it, twerk it, stop it, check on me tonight

Ooo boy you lookin' like you like what you see
Won't you come over and check up on it?
Imma let you work up on it
Ladies, let ‘em check up on it
Watch it while he check up on it
Dip it, pop it, twork it, stop it, check on me tonight

Ooh boy you lookin' like you like what you see
Won't you come over and check up on it?
I'mma let you work up on it
Ladies, let ‘em check up on it
Watch it while he check up on it
Dip it, pop it, twerk it, stop it, check on me tonight

Ooh boy you lookin' like you like what you see
Won't you come over and check up on it?
I'mma let you work up on it
Ladies, let ‘em check up on it
Watch it while he check up on it
Dip it, pop it, twerk it, stop it, check on me tonight","['contemporary r&b', 'dance-pop', 'electropop', 'hip hop rnb and dance hall', 'mbs-333', 'moombahton', 'pop', 'pop rap', 'r&b', 'rnb']",901.8,10,2006,5.6,104.64,845,89,"{'neg': 0.036000000000000004, 'neu': 0.847, 'pos': 0.117, 'compound': 0.9973000000000001}",Check on It,0.9,Beyonce,25,65
698,"Ooh, ooh, ooh, ooh
Yeah, ooh, ooh, sweet love, yeah

I didn't mean it
When I said I didn't love you so
I should have held on tight
I never should have let you go

I didn't know nothing
I was stupid, I was foolish
I was lying to myself

I could not fathom that I would ever
Be without your love
Never imagined I'd be
Sitting here beside myself

'Cause I didn't know you
'Cause I didn't know me
But I thought I knew everything
I never felt

The feeling that I'm feeling
Now that I don't hear your voice
Or have your touch and kiss your lips
'Cause I don't have a choice

Oh, what I wouldn't give
To have you lying by my side
Right here 'cause, baby
(We belong together)

When you left I lost a part of me
It's still so hard to believe
Come back, baby, please
'Cause we belong together

Who else am I gon' lean on when times get rough?
Who's gonna talk to me on the phone till the sun comes up?
Who's gonna take your place? There ain't nobody better
Oh, baby baby, we belong together

I can't sleep at night
When you are on my mind
Bobby Womack's on the radio saying to me,
""If you think you're lonely now.""

Wait a minute, this is too deep 
I gotta change the station
So I turn the dial, trying to catch a break
And then I hear Babyface

I only think of you and it's breaking my heart
I'm trying to keep it together but I'm falling apart
I'm feeling all out of my element
I'm throwing things, crying

Trying to figure out where the hell I went wrong
The pain reflected in this song
It ain't even half of what I'm feeling inside
I need you, need you back in my life, baby

When you left I lost a part of me
It's still so hard to believe
Come back baby, please
'Cause we belong together

Who else am I gon' lean on when times get rough?
Who's gonna talk to me on the phone till the sun comes up?
Who's gonna take your place? There ain't nobody better
Oh, baby baby, we belong together, baby

When you left I lost a part of me 
It's still so hard to believe 
Come back baby, please 
'Cause we belong together

Who am I gonna lean on when times get rough? 
Who's gonna talk to me till the sun comes up?
Who's gonna take your place? There ain't nobody better
Oh baby, baby, we belong together","['american', 'girl', 'pop', 'pop and chart', 'rnb', 'whistle register']",533.7,1,2005,4.4,99.23,435,68,"{'neg': 0.127, 'neu': 0.8180000000000001, 'pos': 0.055, 'compound': -0.9839}",We Belong Together,0.9,Mariah Carey,36,23
699,"Uh huh, this my shit
All the girls stomp your feet like this

A few times I've been around that track
So it's not just gonna happen like that
'Cause I ain't no hollaback girl
I ain't no hollaback girl

A few times I've been around that track
So it's not just gonna happen like that
'Cause I ain't no hollaback girl
I ain't no hollaback girl

Oooh, this my shit, this my shit
Oooh, this my shit, this my shit
Oooh, this my shit, this my shit
Oooh, this my shit, this my shit

I heard that you were talking shit
And you didn't think that I would hear it
People hear you talking like that
Getting everybody fired up

So I'm ready to attack, gonna lead the pack
Gonna get a touchdown, gonna take you out
That's right, put your pom-poms down
Getting everybody fired up

A few times I've been around that track
So it's not just gonna happen like that
'Cause I ain't no hollaback girl
I ain't no hollaback girl

A few times I've been around that track
So it's not just gonna happen like that
'Cause I ain't no hollaback girl
I ain't no hollaback girl

Oooh, this my shit, this my shit
Oooh, this my shit, this my shit
Oooh, this my shit, this my shit
Oooh, this my shit, this my shit

So that's right dude, meet me at the bleachers
No principals, no student teachers
Both of us wanna be the winner
But there can only be one

So I'm gonna fight, gonna give it my all
Gonna make you fall, gonna sock it to you
That's right, I'm the last one standing
Another one bites the dust

A few times I've been around that track
So it's not just gonna happen like that
'Cause I ain't no hollaback girl
I ain't no hollaback girl

A few times I've been around that track
So it's not just gonna happen like that
'Cause I ain't no hollaback girl
I ain't no hollaback girl

Oooh, this my shit, this my shit
Oooh, this my shit, this my shit
Oooh, this my shit, this my shit
Oooh, this my shit, this my shit

Lemme hear you say
This shit is bananas
B-A-N-A-N-A-S
This shit is bananas
B-A-N-A-N-A-S

Again!
This shit is bananas
B-A-N-A-N-A-S
This shit is bananas
B-A-N-A-N-A-S

A few times I've been around that track
So it's not just gonna happen like that
'Cause I ain't no hollaback girl
I ain't no hollaback girl

A few times I've been around that track
So it's not just gonna happen like that
'Cause I ain't no hollaback girl
I ain't no hollaback girl

Oooh, this my shit, this my shit
Oooh, this my shit, this my shit
Oooh, this my shit, this my shit
Oooh, this my shit, this my shit","['american', 'dance-pop', 'new wave', 'no doubt', 'pop', 'pop and chart', 'pop rap', 'pop rock', 'rnb', 'rock', 'ska punk', 'united states']",567.9,2,2005,4.4,99.23,476,71,"{'neg': 0.257, 'neu': 0.636, 'pos': 0.107, 'compound': -0.9987}",Hollaback Girl,0.9,Gwen Stefani,23,67
700,"Here's the thing, we started out friends
It was cool but it was all pretend
Yeah, yeah, since you been gone

You're dedicated, you took the time
Wasn't long till I called you mine
Yeah, yeah, since you been gone

And all you'd ever hear me say
Is how I picture me with you
That's all you'd ever hear me say

But since you been gone
I can breathe for the first time
I'm so moving on, yeah yeah
Thanks to you
Now I get 
What I want
Since you been gone

How can I put it, you put me on
I even fell for that stupid love song
Yeah, yeah, since you been gone

How come I'd never hear you say
I just wanna be with you
Guess you never felt that way

But since you been gone
I can breathe for the first time
I'm so moving on, yeah yeah
Thanks to you
Now I get
I get what I want
Since you been gone

You had your chance, you blew it
Out of sight, out of mind
Shut your mouth, I just can't take it
Again and again and again and again

Since you been gone (since you been gone)
I can breathe for the first time
I'm so moving on, yeah yeah
Thanks to you (thanks to you)
Now I get
I get what I want

I can breathe for the first time
I'm so moving on, yeah yeah
Thanks to you (thanks to you)
Now I get (I get)
You should know (you should know)
That I get
I get what I want

Since you been gone
Since you been gone
Since you been gone","['a filk artist', 'american idol', 'dance-pop', 'electropop', 'fixme label mess', 'pop', 'pop and chart', 'pop rock', 'rock', 'teen pop']",307.8,4,2005,4.0,108.7,280,49,"{'neg': 0.02, 'neu': 0.735, 'pos': 0.245, 'compound': 0.9963000000000001}",Since U Been Gone,-0.7000000000000001,Kelly Clarkson,9,27
701,"Ladies and gentlemen (ladies and gentlemen, ooowee)
This is a Jazze Phizzle Productshizzle (Jazze Phizzle)
Missy (Missy)
The princess is here (Ooowee) (She's here)
Ciara! (This beat is)

Automatic, supersonic, hypnotic, funky fresh
Work my body, so melodic, this beat flows right through my chest
Everybody, ma and papi, came to party, grab somebody
Work your body, work your body, let me see you one, two, step (Here we go)

Rock it, don't stop it, everybody get on the floor
Crank the party up, we about to get it on
Let me see ya, one, two, step, I love it when ya, one, two, step
Everybody, one, two, step, we about to get it on (This beat is)

Outrageous, so contagious, make you crave it (Jazze made it)
So retarded, top-charted, ever since the day I started
Strut my stuff and, yes, I flaunt it
Goodies make the boys jump on it

No, I can't control myself
Now let me do my one, two, step (Come on!)

Rock it, don't stop it, everybody get on the floor
Crank the party up, we about to get it on
Let me see ya, one, two, step, I love it when ya, one, two, step
Everybody, one, two, step, we about to get it on (This beat is)

(We gon' drop the beat like this, ooowee)

It don't matter to me, we can dance slow (Ladies and gentlemen!)
Which ever way the beat drop, our bodies will go (I like this)
So swing it over here, Mr. DJ (Hey, hey)
And we will, we will rock you (Oh yeah)

It don't matter to me, we can dance slow (Dance slow yeah, yeah)
Which ever way the beat drop, our bodies will go (Hey, hey)
So swing over here, Mr. DJ (Ladies and gentlemen)
And we will, we will rock you

(I shake it like jello, make the boys say 'Hello'
'Cause they know I'm rockin' the beat
I know you heard about a lot of great MC's
But they ain't got nothing on me)

(Because I'm 5 foot 2, I wanna dance with you
And I'm sophisticated fun
I eat fillet mignon and I'm nice and young 
Best believe I'm number one) (Oooh!)

Rock it, don't stop it, everybody get on the floor
Crank the party up, we about to get it on
Let me see ya, one, two, step, I love it when ya, one, two, step
Everybody, one, two, step, we about to get it on (This beat is)

Rock it, don't stop it, everybody get on the floor
Crank the party up, we about to get it on
Let me see ya, one, two, step, I love it when ya, one, two, step
Everybody, one, two, step, we about to get it on

(This is for the hearing impaired
A Jazze Pha production)

(Ooowee!
Ooowee!)","['contemporary r&b', 'crunk&b', 'dance', 'dance-pop', 'electropop', 'hip hop', 'pop', 'pop and chart', 'pop rap', 'r&b']",584.1,5,2005,5.6,96.18,475,51,"{'neg': 0.046, 'neu': 0.8140000000000001, 'pos': 0.14, 'compound': 0.994}","1, 2 Step",2.1,Ciara,40,24
702,"Jamie Foxx
She take my money when I'm in need
Yeah she's a triflin' friend indeed
Oh, she's a gold digger, way over town
That digs on me

(She gives me money)
Now I ain't sayin' she a gold digger
(When I'm in need)
But she ain't messin' wit' no broke niggas

(She gives me money)
Now I ain't sayin' she a gold digger
(When I'm in need)
But she ain't messin' wit' no broke niggas

(I gotta leave) Get down girl, go 'head get down
(I gotta leave) Get down girl, go 'head get down
(I gotta leave) Get down girl, go 'head get down
(I gotta leave) Get down girl, go 'head

Cutie the bomb, met her at a beauty salon
With a baby Louis Vuitton under her underarm
She said, I can tell you rock, I can tell by your charm
Far as girls you got a flock, I can tell by your charm

And your arm, but I'm lookin' for the one. Have you seen her?
My psychic told me she'll have an ass like Serena
Trina, Jeena-fah Lopez, four kids
And I gotta take all they bad ass to ShowBiz

Okay, get your kids, but then they got their friends
I pulled up in the Benz, they all got up in
We all went to din and then I had to pay
If you fuckin' with this girl then you better be paid

You know why? It take too much to touch her
From what I heard she got a baby by Busta
My best friend said she used to fuck with Usher
I don't care what none of y'all say, I still love her

(She gives me money)
Now I ain't sayin' she a gold digger, uh
(When I'm in need)
But she ain't messin' wit' no broke niggas, uh

(She gives me money)
Now I ain't sayin' she a gold digger, uh
(When I'm in need)
But she ain't messin' wit' no broke niggas, uh

(I gotta leave) Get down girl, go 'head get down
(I gotta leave) Get down girl, go 'head get down
(I gotta leave) Get down girl, go 'head get down
(I gotta leave) Get down girl, go 'head

Eighteen years, eighteen years
She got one of yo' kids, got you for eighteen years
I know somebody payin' child support for one of his kids
His baby mama car and crib is bigger than his

You will see him on TV, any given Sunday
Win the Super Bowl and drive off in a Hyundai
She was supposed to buy your shorty Tyco with your money
She went to the doctor got lipo with your money

She walkin' around lookin' like Michael with your money
Should've got that insured, GEICO for your money (money...money)
If you ain't no punk
Holla we want prenup (We want prenup!)

Yeah, it's something that you need to have
'Cause when she leave your ass she gon' leave with half
Eighteen years, eighteen years
And on her eighteenth birthday, he found out it wasn't his

(She gives me money)
Now I ain't sayin' she a gold digger, uh
(When I'm in need)
But she ain't messin' wit' no broke niggas, uh

(She gives me money)
Now I ain't sayin' she a gold digger, uh
(When I'm in need)
But she ain't messin' wit' no broke niggas, uh

(I gotta leave) Get down girl, go 'head get down, uh
(I gotta leave) Get down girl, go 'head get down
(I gotta leave) Get down girl, go 'head get down, uh
(I gotta leave) Get down girl, go 'head

Now I ain't sayin' you a gold digger, you got needs
You don't want a dude to smoke but he can't buy weed
You got out to eat and he can't pay, y'all can't leave
There's dishes in the back, he gotta roll up his sleeves

But while y'all washin', watch him
He gon' make it into a Benz out of that Datsun
He got that ambition, baby, look at his eyes
This week he moppin' floors, next week it's the fries

So, stick by his side
I know there's dude's ballin', but yeah that's nice
And they gon' keep callin' and tryin', but you stay right, girl
And when you get on, he leave yo' ass for a white girl

(I gotta leave) Get down girl, go 'head get down
(I gotta leave) Get down girl, go 'head get down
(I gotta leave) Get down girl, go 'head get down
(I gotta leave) Get down girl, go 'head

Let me hear that back....","['american', 'hip hop', 'hip hop rnb and dance hall', 'hip-hop', 'producer', 'rapper', 'us']",857.7,6,2005,5.2,105.66,766,91,"{'neg': 0.084, 'neu': 0.807, 'pos': 0.109, 'compound': 0.9613}",Gold Digger,0.5,Kanye West,58,53
703,"I walk a lonely road
The only one that I have ever known
Don't know where it goes
But it's home to me and I walk alone

I walk this empty street
On the boulevard of broken dreams
Where the city sleeps
And I'm the only one and I walk alone

I walk alone
I walk alone
I walk alone
I walk a-

My shadow's the only one that walks beside me
My shallow heart's the only thing that's beating
Sometimes I wish someone out there will find me
Till then I walk alone

Ah-ah, ah-ah, ah-ah, ah-ah
Ah-ah, ah-ah, ah-ah

I'm walking down the line
That divides me somewhere in my mind
On the borderline
Of the edge and where I walk alone

Read between the lines
What's fucked up and everything's alright
Check my vital signs
To know I'm still alive and I walk alone

I walk alone
I walk alone
I walk alone
I walk a-

My shadow's the only one that walks beside me
My shallow heart's the only thing that's beating
Sometimes I wish someone out there will find me
Till then I walk alone

Ah-ah, ah-ah, ah-ah, ah-ah
Ah-ah, ah-ah

I walk alone
I walk a-

I walk this empty street
On the boulevard of broken dreams
Where the city sleeps
And I'm the only one and I walk a-

My shadow's the only one that walks beside me
My shallow heart's the only thing that's beating
Sometimes I wish someone out there will find me
Till then I walk alone","['alternative rock', 'american', 'américain', 'bay area', 'bay area punk', 'california', 'california punk', 'classic pop punk', 'classic punk', 'pop', 'pop and chart', 'pop punk', 'pop rock', 'pop-punk', 'pop/rock', 'post-punk', 'power pop', 'punk', 'punk pop', 'punk rock', 'rock', 'ska punk', 'united states', 'usa']",346.5,7,2005,4.0,91.78,257,45,"{'neg': 0.196, 'neu': 0.73, 'pos': 0.074, 'compound': -0.9786}",Boulevard Of Broken Dreams,1.7000000000000002,Green Day,17,31
